"filename", "language", "JavaScript", "PostCSS", "JSON", "Dotenv", "JavaScript JSX", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 298, 0, 0, 3, 17, 318
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\compare-stats.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\player-stats\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\team-stats\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 6, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\+not-found.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 1, 5, 75
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 90, 0, 0, 1, 7, 98
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\forgot-password.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 1, 6, 53
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 233, 0, 0, 6, 28, 267
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\reset-password.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 2, 9, 121
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 257, 0, 0, 7, 32, 296
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AbbreviationEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 1, 16, 158
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AnimatedSearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 1, 13, 97
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AppleSignInButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 5, 14, 80
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Avatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AwaitingResultCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 96, 0, 0, 0, 4, 100
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeList.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 0, 4, 14, 174
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeTierScrollView.jsx", "JavaScript JSX", 0, 0, 0, 0, 160, 0, 0, 6, 29, 195
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeUnlockModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 297, 0, 0, 39, 20, 356
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BasicPaywall.jsx", "JavaScript JSX", 0, 0, 0, 0, 520, 0, 0, 18, 50, 588
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BottomSheetModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 2, 6, 41
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BottomSheetWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 1, 5, 70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BrandHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 3, 53
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CTAButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 9, 93
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CachedImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ChildTeamCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 316, 0, 0, 11, 19, 346
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ChipSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 45, 6, 101
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CircleButtonRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 8, 71
