"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StatCard.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StatCardCompare.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StepPillGroup.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SwitchSettingsItem.jsx", "JavaScript JSX", 0, 43, 0, 0, 7, 50
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TeamInviteCard.jsx", "JavaScript JSX", 0, 66, 0, 0, 7, 73
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TeamLogo.jsx", "JavaScript JSX", 0, 140, 0, 4, 10, 154
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TeamProfile.jsx", "JavaScript JSX", 0, 37, 0, 0, 4, 41
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TrophyCabinet.jsx", "JavaScript JSX", 0, 322, 0, 10, 18, 350
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\UpcomingFixtureCard.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\svgs.jsx", "JavaScript JSX", 0, 34, 0, 2, 3, 39
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\AppRealtimeProvider.jsx", "JavaScript JSX", 0, 12, 0, -1, 3, 14
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\SupabaseClientContext.jsx", "JavaScript JSX", 0, 46, 0, 3, 12, 61
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\UserProvider.jsx", "JavaScript JSX", 0, 17, 0, 1, 4, 22
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\forgot-password.jsx", "JavaScript JSX", 0, 2, 0, 0, 1, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useAuthUserProfile.jsx", "JavaScript JSX", 0, -63, 0, -3, -10, -76
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useAuthUserProfile2.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 18
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCachedImage.jsx", "JavaScript JSX", 0, -8, 0, -3, 1, -10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCompressAndUploadImage.jsx", "JavaScript JSX", 0, 66, 0, 1, 15, 82
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useDistricts.jsx", "JavaScript JSX", 0, 1, 0, 0, 3, 4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useDivisions.jsx", "JavaScript JSX", 0, 2, 0, 0, 1, 3
