"filename", "language", "JSON", "JavaScript", "PostCSS", "TypeScript", "JSON with Comments", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomTextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 4, 59
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DivisionsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 5, 58
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DonutChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 11, 95
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DropdownFilterButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\EditableSettingsItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 9, 84
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 281, 0, 0, 16, 297
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturesHomeCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 5, 86
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 401, 0, 15, 34, 450
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FloatingBottomSheet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 104, 0, 2, 9, 115
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FormWidget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 104, 0, 1, 17, 122
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FramesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 3, 9, 78
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\GradientBall.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HeadToHead.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 4, 8, 96
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Heading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HomeScreenCardLarge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HorizontalScrollUpcomingFixtures.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 1, 6, 76
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HorizontalStatBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 2, 8, 85
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ImageUploader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 18, 160
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Last5MatchesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 4, 66
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeaderboardCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 116, 0, 3, 14, 133
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueHomeCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 6, 73
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 125, 0, 3, 7, 135
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueTableWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 242, 0, 12, 27, 281
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LivePulseCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 83, 0, 2, 8, 93
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LoadingSplash.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 109, 0, 2, 13, 124
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\MenuContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ModalDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 11, 7, 102
